from_stop_id,to_stop_id,transfer_type,min_transfer_time
45800,45799,0,
45804,45803,0,
45806,45805,0,
45815,45814,0,
45817,45816,0,
45819,45818,0,
45823,45822,0,
45825,45824,0,
45827,45826,0,
45829,45828,0,
45832,45831,0,
45834,45833,0,
45836,45835,0,
45838,45837,0,
45840,45839,0,
45843,45842,0,
45844,45841,0,
45845,45843,0,
45845,45844,0,
45847,45846,0,
45849,45848,0,
45851,45850,0,
45853,45852,0,
45858,45857,0,
45860,45859,0,
45862,45861,0,
45865,45864,0,
45867,45866,0,
45869,45868,0,
45874,45873,0,
45877,45876,0,
45879,45878,0,
45881,45880,0,
45883,45882,0,
45885,45884,0,
45889,45888,0,
45890,45888,0,
45890,45889,0,
45891,45888,0,
45891,45889,0,
45891,45890,0,
45894,45893,0,
45896,45895,0,
45898,45897,0,
45900,45899,0,
45904,45903,0,
45909,45908,0,
45911,45910,0,
45914,45913,0,
45916,45915,0,
45918,45917,0,
45920,45919,0,
45922,45921,0,
45925,45924,0,
45927,45926,0,
45930,45929,0,
45931,45929,0,
45931,45930,0,
45933,45932,0,
45935,45934,0,
45937,45936,0,
45940,45939,0,
45944,45943,0,
45945,45943,0,
45945,45944,0,
45948,45947,0,
45951,45947,0,
45951,45948,0,
45952,45947,0,
45952,45951,0,
45954,45953,0,
45958,45957,0,
45961,45960,0,
45963,45962,0,
45965,45964,0,
45966,45964,0,
45966,45965,0,
45968,45967,0,
45969,45967,0,
45969,45968,0,
45970,45967,0,
45970,45968,0,
45970,45969,0,
45972,45971,0,
45975,45974,0,
45977,45976,0,
45979,45978,0,
45981,45980,0,
45983,45982,0,
45985,45984,0,
45987,45986,0,
45989,45988,0,
45991,45990,0,
45993,45992,0,
45995,45994,0,
45999,45998,0,
46002,45802,0,
46003,45807,0,
46004,45807,0,
46004,46003,0,
46009,46008,0,
46011,46010,0,
46013,46012,0,
46015,46014,0,
46017,46016,0,
46019,45243,0,
46019,45244,0,
46020,44611,0,
46022,45604,0,
46024,45612,0,
46024,45613,0,
46024,45616,0,
46025,45616,0,
46025,46024,0,
46027,45732,0,
46032,45926,0,
46032,45927,0,
46035,45534,0,
46035,45535,0,
46037,46036,0,
46038,45785,0,
46039,45338,0,
46039,45339,0,
46041,46040,0,
46043,46042,0,
46044,44551,0,
46047,46046,0,
46049,46048,0,
46054,45238,0,
46054,45239,0,
46054,45240,0,
46055,45129,0,
46056,45129,0,
46056,46055,0,
46058,46057,0,
46061,46060,0,
46064,46063,0,
46066,45641,0,
46066,45642,0,
46073,46072,0,
46075,46074,0,
46077,46076,0,
46078,45682,0,
46078,45683,0,
46080,46079,0,
46082,46081,0,
46084,46083,0,
46086,46085,0,
46090,46089,0,
46097,46096,0,
46104,44872,0,
46105,45996,0,
46106,45439,0,
46106,45440,0,
46107,44604,0,
46107,44605,0,
46108,44774,0,
46108,44775,0,
46110,46109,0,
46112,46111,0,
46115,46114,0,
46116,45380,0,
46116,45381,0,
46120,44721,0,
46121,44721,0,
46121,46120,0,
46126,44930,0,
46128,45346,0,
46129,45695,0,
46129,45696,0,
46131,46130,0,
46133,46132,0,
46135,44899,0,
46135,44904,0,
46135,44905,0,
46135,44906,0,
46138,46137,0,
46143,45186,0,
46144,45186,0,
46144,46143,0,
46145,45370,0,
46146,45707,0,
46151,46150,0,
46154,45586,0,
46156,46155,0,
46158,45063,0,
46158,45064,0,
46159,45063,0,
46159,45064,0,
46159,46158,0,
46164,46163,0,
46166,46165,0,
46168,46167,0,
46170,46169,0,
46172,44918,0,
46177,45732,0,
46180,46179,0,
46182,46181,0,
46183,46160,0,
46189,46188,0,
46191,46190,0,
46194,46193,0,
46197,46196,0,
46198,46196,0,
46198,46197,0,
46199,46196,0,
46199,46197,0,
46199,46198,0,
46200,44684,0,
46203,46202,0,
46205,45772,0,
46206,45772,0,
46206,46205,0,
46211,46034,0,
46212,46211,0,
46214,46213,0,
46216,46215,0,
46219,46218,0,
46228,44977,0,
46230,46070,0,
46239,45769,0,
46239,45770,0,
46239,45772,0,
46239,46205,0,
46239,46206,0,
46240,46119,0,
46241,45580,0,
46242,45580,0,
46242,45581,0,
46242,46241,0,
46243,45673,0,
46244,44993,0,
46244,44994,0,
46245,46109,0,
46245,46110,0,
46246,46109,0,
46246,46110,0,
46246,46245,0,
46247,44624,0,
46247,44625,0,
46251,45588,0,
46251,45589,0,
46251,45593,0,
46252,46023,0,
46254,45585,0,
46254,45586,0,
46254,46154,0,
46255,46253,0,
46256,45732,0,
46256,46177,0,
46257,45364,0,
46257,45365,0,
46260,46259,0,
46261,45564,0,
46263,44603,0,
46266,44844,0,
46266,44848,0,
46267,44846,0,
46269,44945,0,
46269,44946,0,
46270,44945,0,
46270,44946,0,
46270,44947,0,
46270,46269,0,
46271,46053,0,
46275,45118,0,
46275,45119,0,
46275,45121,0,
46283,45813,0,
46286,46285,0,
46288,45950,0,
46289,45950,0,
46289,46288,0,
46293,44820,0,
46293,44825,0,
46294,45161,0,
46294,45162,0,
46294,45163,0,
46295,45498,0,
46295,45499,0,
46297,46296,0,
46299,46160,0,
46299,46183,0,
46300,45169,0,
46301,44724,0,
46302,44724,0,
46302,46301,0,
46303,45855,0,
46305,46001,0,
46306,45839,0,
46306,45840,0,
46307,45839,0,
46307,45840,0,
46307,46306,0,
46308,46088,0,
46309,46091,0,
46310,46094,0,
46311,46142,0,
4703255,46201,0,
4703256,46190,0,
4703256,46191,0,
4703364,46118,0,
