stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
16529,16529,"THIONVILLE Lycée Colbert",,49.3646483,6.1525861,,,1,,,
46141,5404394A,"THIONVILLE Lycée Colbert",,49.3646483,6.1525861,,,0,16529,,
16530,16530,"THIONVILLE Quartier Chevert",,49.3609983,6.1455201,,,1,,,
46140,5404393A,"THIONVILLE Quartier Chevert",,49.3609983,6.1455201,,,0,16530,,
18833,18833,"EINVILLE-AU-JARD Cardinal Mathieu",,48.6552759,6.489164,,,1,,,
44945,5400842A,"EINVILLE-AU-JARD Cardinal Mathieu",,48.6549669,6.489055,,,0,18833,,
44946,5400843A,"EINVILLE-AU-JARD Cardinal Mathieu",,48.6555849,6.489273,,,0,18833,,
18838,18838,"AUDUN-LE-TICHE MJC",,49.4712943,5.9568401,,,1,,,
46175,5404675A,"AUDUN-LE-TICHE MJC",,49.4712943,5.9568401,,,0,18838,,
18839,18839,"Poste",,49.4158783,5.9417056,,,1,,,
46102,5404137A,"AUMETZ Poste",,49.4158583,5.9417411,,,0,18839,,
19862,19862,"Verdun",,49.1657094,5.3797651,,,1,,,
46069,5403832A,"VERDUN Gare SNCF",,49.1649672,5.3795301,,,0,19862,,
19887,19887,"Mairie",,48.6714584,5.9101536,,,1,,,
45857,5402117A,"DOMMARTIN-LES-TOUL Mairie",,48.6714069,5.9102321,,,0,19887,,
45858,5402118A,"DOMMARTIN-LES-TOUL Mairie",,48.6715099,5.9100751,,,0,19887,,
21770,21770,"Maurice Thorez",,49.2173782,5.9918914,,,1,,,
44628,5400288A,"HOMECOURT Maurice Thorez",,49.2170912,5.9919731,,,0,21770,,
44629,5400289A,"HOMECOURT Maurice Thorez",,49.2170952,5.9918231,,,0,21770,,
21817,21817,"JARNY Collège Aragon",,49.1629022,5.8724881,,,1,,,
44630,5400298A,"JARNY Collège Aragon",,49.1629022,5.8724881,,,0,21817,,
21824,21824,"LANDRES LP Jean Morette",,49.3159643,5.8016491,,,1,,,
44641,5400359A,"LANDRES LP Jean Morette",,49.3159643,5.8016491,,,0,21824,,
21828,21828,"Meubles KD",,49.3022979,5.8827834,,,1,,,
44761,5400594A,"TUCQUEGNIEUX Meubles KD",,49.3022113,5.8826641,,,0,21828,,
44762,5400595A,"TUCQUEGNIEUX Meubles KD",,49.3021803,5.8828281,,,0,21828,,
21829,21829,"Moyeuvre-Grande",,49.2470165,6.0434723,,,1,,,
46068,5403815A,"MOYEUVRE-GRANDE Gare SNCF",,49.2471643,6.0437511,,,0,21829,,
26303,26303,"POINCARE",,49.1174192,6.169092,,,1,,,
46089,5404008A,"METZ Poincaré",,49.1178262,6.1692971,,,0,26303,,
46090,5404009A,"METZ Poincaré",,49.1180622,6.1695361,,,0,26303,,
26594,26594,"BARON",,48.7929659,6.3605423,,,1,,,
46008,5402464A,"BIONCOURT Baron",,48.7930249,6.36065,,,0,26594,,
46009,5402465A,"BIONCOURT Baron",,48.7929729,6.360677,,,0,26594,,
